make,model,type,qty,desc
Bosch,KGV33VLEAG,FREE,5,F/F FREE BOSCH KGV33VLEAG
Candy,CCH1S513EWK-1,FREE,4,F/F FREE CANDY CCH1S513EWK-1
Electrolux,LNT5ME32W1,FREE,2,F/F FREE ELE LNT5ME32W1 FROST FREE
Electrolux,LNT6ME33KO,FREE,2,F/F FREE ELE LNT6ME33KO FROST FREE
Electrolux,LNT6NE18S,INT,4,F/F INT ELE LNT6NE18S 70/30 FROST FREE
Haier,HCR3818ENMG(UK),FREE,3,F/F FREE HAIER HCR3818ENMG(UK)
Haier,HFR5719EWPB,FREE,1,F/F FREE HAIER HFR5719EWPB
Haier,HSW59F18DIMM,FREE,2,F/F FREE HAIER HSW59F18DIMM PLUMBED WATER
Haier,HTW5618ENMG(UK),FREE,2,F/F FREE HAIER HTW5618ENMG(UK)
Hisense,RS694N4IBE,FREE,3,F/F FREE HISENSE RS694N4IBE
Hoover,HONFQ2T718EXK,FREE,3,F/F FREE HOOVER HONFQ2T718EXK
Hotpoint,H5X820SX,FREE,5,F/F FREE HOT H5X820SX
Hotpoint,H9C941CW,FREE,6,F/F FREE HOT H9C941CW
Hotpoint,HQ9B1L1,FREE,3,F/F FREE HOT HQ9B1L1
Hotpoint,HTC18D011A1,INT,2,F/F INT HOT HTC18D011A1 70/30
Indesit,IB55532BUK,FREE,4,F/F FREE IND IB55532BUK
Indesit,IB55532SUK,FREE,2,F/F FREE IND IB55532SUK
Indesit,IB55532WUK,FREE,2,F/F FREE IND IB55532WUK
Indesit,INC18D011B1,INT,2,F/F INT IND INC18D011B1 70/30
Indesit,INK25322S4UKS,FREE,1,F/F FREE IND INK25322S4UKS
Indesit,INK25322W4UKS,FREE,3,F/F FREE IND INK25322W4UK
Indesit,KINS1261B4UK,INT,2,F/F INT IND KINS1261B4UK 50/50
Indesit,SI81QWDUK,UR,1,FRIDGE U/R IND SI81QWDUK
Nordmende,RFF266WH,FREE,5,F/F FREE NORD RFF266WH
Nordmende,RFF317NFIXL,FREE,4,F/F FREE NORD RFF317NFIXL
Nordmende,RFF317NFWH,FREE,3,F/F FREE NORD RFF317NFWH
Nordmende,RFF60405IXL,FREE,3,F/F FREE NORD RFF60405IXL
Nordmende,RFF60405SL,FREE,2,F/F FREE NORD RFF60405SL
Powerpoint,P467TTIBMDW,UR,1,FRIDGE TABLETOP WITH ICE BOX P/P P467TTIBMDW
Powerpoint,P74250MLSS-E,FREE,3,F/F FREE P/P P74250MLSS-E
Powerpoint,P74250MLW,FREE,3,F/F FREE P/P P74250MLW
Powerpoint,P74555SKW,FREE,3,F/F FREE P/P P74555SKW
Powerpoint,P75562ML1W,FREE,2,F/F FREE P/P P75562ML1W
Powerpoint,P75562MLIN-E,FREE,1,F/F FREE P/P P75562MLIN-E
Powerpoint,P9383KSS,FREE,1,F/F FREE P/P P9383KSS
Powerpoint,P9383WDKBL,FREE,1,F/F FREE P/P P9383WDKBL
Samsung,RS70F64KEFEU,FREE,2,F/F FREE SAM RS70F64KEFEU
Samsung,RS70F64KETEU,FREE,4,F/F FREE SAM RS70F64KETEU
Samsung,RS70F65KETEU,FREE,1,F/F FREE SAM RS70F65KETEU NON PLUM WATER
