product_id,price,note
8650,399,fridge: Indesit INKS8261 S4UK 60/40 Fridge Freezer - S
8647,449,fridge: Indesit INKF8251 S4UK No Frost 70/30 Fridge Fr
8644,449,fridge: Indesit INKF8251 W4UK No Frost 70/30 Fridge Fr
8632,699,fridge: HOTPOINT Dual No Frost 60/40 Fridge Freezer wi
8625,499,fridge: Beko Freestanding Frost Free Fridge Freezer wi
8622,1099,fridge: Beko Freestanding American Style Fridge Freeze
8514,679,fridge: Electrolux 60/40 Freestanding Frost Free Fridg
8512,699,fridge: Electrolux Frost Free Fridge Freezer LNT6ME36U
8510,649,fridge: Electrolux Integrated Fridge Freezer LNS5LE18S
8393,899,fridge: Beko American Style Fridge Freezer ASL1442VPZ
8616,449,fridge: Beko 50/50 Frost Free Fridge Freezer CFG4552B 
8619,439,fridge: Beko 50/50 Frost Free Fridge Freezer  CFG4552S
8379,649,fridge: BEKO Pro HarvestFresh CNB3G4686DVPS 60/40 Frid
7469,599,fridge: Hotpoint HMCB 70301 UK Integrated Fridge Freez
8351,449,fridge: Indesit Freestanding fridge freezer - IB55 732
8326,399,fridge: INDESIT FREESTANDING FRIDE FREEZER - IB55732WU
8102,499,fridge: Bosch Series 4 Freestanding Fridge Freezer | K
7332,279,fridge: PowerPoint Fridge Freezer P64864MSFW
8337,349,fridge: Nordmende RFF266SL 55cm Freestanding Fridge Fr
7346,449,fridge: Nordmende RFF60405BL 60 40 Black Freestanding 
7485,599,fridge: NordMende 50:50 Integrated Fridge Freezer | RI
7487,529,fridge: NordMende Built-in 70/30 No Frost Fridge Freez
700000,529,fridge: Bosch Fridge Freezer KGV33VLEAG
700001,339,fridge: Candy Fridge Freezer CCH1S513EWK-1
700003,699,fridge: Electrolux Fridge Freezer LNT6ME33KO
700004,804,fridge: Electrolux Integrated Fridge Freezer LNT6NE18S
700005,899,fridge: Haier Fridge Freezer HCR3818ENMG(UK)
700006,904,fridge: Haier Fridge Freezer HFR5719EWPB
700007,1304,fridge: Haier Fridge Freezer HSW59F18DIMM
700008,699,fridge: Haier Fridge Freezer HTW5618ENMG(UK)
700009,1094,fridge: Hisense Fridge Freezer RS694N4IBE
700010,649,fridge: Hoover Fridge Freezer HONFQ2T718EXK
700012,804,fridge: Hotpoint Fridge Freezer H9C941CW
700014,599,fridge: Hotpoint Integrated Fridge Freezer HTC18D011A1
700015,429,fridge: Indesit Fridge Freezer IB55532BUK
700016,429,fridge: Indesit Fridge Freezer IB55532SUK
700017,399,fridge: Indesit Fridge Freezer IB55532WUK
700018,499,fridge: Indesit Integrated Fridge Freezer INC18D011B1
700019,499,fridge: Indesit Fridge Freezer INK25322S4UKS
700020,499,fridge: Indesit Fridge Freezer INK25322W4UKS
700021,499,fridge: Indesit Integrated Fridge Freezer KINS1261B4UK
700022,499,fridge: Indesit Undercounter Fridge SI81QWDUK
700023,329,fridge: Nordmende Fridge Freezer RFF266WH
700024,349,fridge: Nordmende Fridge Freezer RFF317NFIXL
700025,499,fridge: Nordmende Fridge Freezer RFF317NFWH
700026,549,fridge: Nordmende Fridge Freezer RFF60405IXL
700027,449,fridge: Nordmende Fridge Freezer RFF60405SL
700028,129,fridge: Powerpoint Undercounter Fridge P467TTIBMDW
700029,279,fridge: Powerpoint Fridge Freezer P74250MLSS-E
700030,279,fridge: Powerpoint Fridge Freezer P74250MLW
700031,314.99,fridge: Powerpoint Fridge Freezer P74555SKW
700032,299,fridge: Powerpoint Fridge Freezer P75562ML1W
700033,339,fridge: Powerpoint Fridge Freezer P75562MLIN-E
700034,699,fridge: Powerpoint Fridge Freezer P9383KSS
700035,699,fridge: Powerpoint Fridge Freezer P9383WDKBL
700036,1764,fridge: Samsung Fridge Freezer RS70F64KEFEU
700037,1754,fridge: Samsung Fridge Freezer RS70F64KETEU
700038,1499,fridge: Samsung Fridge Freezer RS70F65KETEU
7516,369,dishwasher corrected price
8698,539,dishwasher corrected price
8703,549,dishwasher corrected price
8701,599,dishwasher corrected price
8708,449,dishwasher corrected price
8359,479,dishwasher corrected price
8695,399,dishwasher corrected price
7269,449,dishwasher corrected price
8692,449,dishwasher corrected price
5961,499,dishwasher corrected price
7263,379,dishwasher corrected price
8705,399,dishwasher corrected price
7261,429,dishwasher corrected price
8689,369,dishwasher corrected price
7528,399,dishwasher corrected price
7520,399,dishwasher corrected price
8753,589,dishwasher corrected price
5418,349,dishwasher corrected price
5719,399,dishwasher corrected price
5965,399,dishwasher corrected price
7518,349,dishwasher corrected price
